img,bank,card_name,card_type,required_income,required_applicant,cashback_rate,cashback_cap,cashback_benchmark,cashback_category,cashback_from,cashback_till,cashback_weekends_only,cashback_monthly_basis,cashback_single_receipt
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000c2/the-store-pacific-hong-leong-platinum-mastercard.jpg,hong_leong_bank,the_store_pacific_hong_leong_platinum_mastercard,mastercard,5000.0,Anybody,0.5,10000000000,from RM1 and above in a single receipt,other retail,1.0,,False,False,True
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000c1/the-store-pacific-hong-leong-gold-mastercard.jpg,hong_leong_bank,the_store_pacific_hong_leong_gold_mastercard,mastercard,2000.0,Anybody,6.0,30,"from RM1,501 and above monthly",the store and pacific,1501.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000c1/the-store-pacific-hong-leong-gold-mastercard.jpg,hong_leong_bank,the_store_pacific_hong_leong_gold_mastercard,mastercard,2000.0,Anybody,0.5,10000000000,from RM1 and above in a single receipt,other retail,1.0,,False,False,True
https://ringgitplus.com/img/card-400/54bf212f6a3668363f2c4e56/maybank-visa-signature.jpg,maybank,maybank_visa_signature,visa,5833.33,Anybody,5.0,88,any amount monthly,petrol and groceries,0.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000f5/maybank-2-gold-cards.jpg,maybank,maybank_2_gold_cards,,2500.0,Anybody,5.0,50,any amount on weekends only,all local and overseas spending,0.0,,True,False,False
https://ringgitplus.com/img/card-400/599fd556c1a2c40f50a6e646/maybank-american-express-cash-back-gold.jpg,maybank,maybank_american_express_cash_back_gold,american,2500.0,Anybody,1.5,10000000000,any amount monthly,all overseas retail spending,0.0,,False,True,False
https://ringgitplus.com/img/card-400/599fd556c1a2c40f50a6e646/maybank-american-express-cash-back-gold.jpg,maybank,maybank_american_express_cash_back_gold,american,2500.0,Anybody,1.0,10000000000,any amount monthly,all local retail spending,0.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e8/maybank-islamic-petronas-ikhwan-visa-platinum-card-i.jpg,maybank,maybank_islamic_petronas_ikhwan_visa_platinum_card_i,visa,5000.0,Anybody,8.0,50,any amount,weekends petronas spend,0.0,,False,False,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e8/maybank-islamic-petronas-ikhwan-visa-platinum-card-i.jpg,maybank,maybank_islamic_petronas_ikhwan_visa_platinum_card_i,visa,5000.0,Anybody,1.0,50,any amount,weekdays petronas spend,0.0,,False,False,False
https://ringgitplus.com/img/card-400/59ef11f1511e6e271733223d/maybank-fc-barcelona-visa-signature.jpg,maybank,maybank_fc_barcelona_visa_signature,visa,4000.0,Anybody,1.0,50,any amount monthly,"all purchases made all year long (except for government bodies, utilities and e-wallet reloads)",0.0,,False,True,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000f7/maybank-2-platinum-cards.jpg,maybank,maybank_2_platinum_cards,,5000.0,Anybody,5.0,50,any amount on weekends only,all retail (except for government bodies and utilities),0.0,,True,False,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e7/maybank-islamic-petronas-ikhwan-visa-gold-card-i.jpg,maybank,maybank_islamic_petronas_ikhwan_visa_gold_card_i,visa,2500.0,Anybody,8.0,50,any amount,weekends petronas spend,0.0,,False,False,False
https://ringgitplus.com/img/card-400/519489e2193821ed4a0000e7/maybank-islamic-petronas-ikhwan-visa-gold-card-i.jpg,maybank,maybank_islamic_petronas_ikhwan_visa_gold_card_i,visa,2500.0,Anybody,1.0,50,any amount,weekdays petronas spend,0.0,,False,False,False
https://ringgitplus.com/img/card-400/54feb7d0fd1ef36571cfff76/maybank-islamic-mastercard-ikhwan-gold-card-i.jpg,maybank,maybank_islamic_mastercard_ikhwan_gold_card_i,mastercard,2500.0,Anybody,5.0,50,any amount monthly on weekends only,petrol and groceries,0.0,,True,True,False
https://ringgitplus.com/img/card-400/54feb188bc1ea1de43cbd9eb/maybank-islamic-mastercard-ikhwan-platinum-card-i.jpg,maybank,maybank_islamic_mastercard_ikhwan_platinum_card_i,mastercard,5000.0,Anybody,5.0,50,any amount monthly on weekends only,petrol and groceries,0.0,,True,True,False
https://ringgitplus.com/img/card-400/55026529cdba705925412fc8/ocbc-365-mastercard.jpg,ocbc,ocbc_365_mastercard,mastercard,3000.0,Anybody,0.5,10000000000,"from RM1,001 and above monthly",all retail expenses,1001.0,,False,True,False
https://ringgitplus.com/img/card-400/529d7ab195dae3756f000d22/ocbc-world-mastercard.jpg,ocbc,ocbc_world_mastercard,mastercard,8333.33,Anybody,0.6,10000000000,"from RM1,001 and above monthly",all retail,1001.0,,False,True,False
https://ringgitplus.com/img/card-400/588831d6b8bc79665cc8a042/ocbc-cashflo-mastercard.jpg,ocbc,ocbc_cashflo_mastercard,mastercard,3000.0,Anybody,0.5,10000000000,any amount,all retail local and abroad,0.0,,False,False,False
https://ringgitplus.com/img/card-400/5396c9098ff8f5a04f5f3407/ocbc-mastercard-pink.jpg,ocbc,ocbc_mastercard_pink,mastercard,3000.0,Anybody,1.0,10000000000,any amount,all online and overseas spending,0.0,,False,False,False
