,img,bank,card_name,card_type,required_income,required_applicant,reward_points,reward_category,each_spending
150,https://ringgitplus.com/img/card-400/5d8c43e829b550c865d2b001/hong-leong-emirates-hlb-platinum-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_platinum_card,,5000.0,Anybody,1.25,for overseas transaction,4
151,https://ringgitplus.com/img/card-400/5d8c43e829b550c865d2b001/hong-leong-emirates-hlb-platinum-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_platinum_card,,5000.0,Anybody,0.5,for local transaction,4
152,https://ringgitplus.com/img/card-400/5d8c3db729b550c865d2afff/hong-leong-emirates-hlb-world-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_card,,7500.0,Anybody,2.0,for emirates transaction,4
153,https://ringgitplus.com/img/card-400/5d8c3db729b550c865d2afff/hong-leong-emirates-hlb-world-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_card,,7500.0,Anybody,1.5,for overseas transaction,4
154,https://ringgitplus.com/img/card-400/5d8c3db729b550c865d2afff/hong-leong-emirates-hlb-world-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_card,,7500.0,Anybody,1.0,for local transaction,4
155,https://ringgitplus.com/img/card-400/5d8c31bc29b550c865d2aff8/hong-leong-emirates-hlb-world-elite-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_elite_card,,20833.33,Anybody,2.5,for emirates transaction,4
156,https://ringgitplus.com/img/card-400/5d8c31bc29b550c865d2aff8/hong-leong-emirates-hlb-world-elite-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_elite_card,,20833.33,Anybody,1.75,for overseas transaction,4
157,https://ringgitplus.com/img/card-400/5d8c31bc29b550c865d2aff8/hong-leong-emirates-hlb-world-elite-card.jpg,hong_leong_bank,hong_leong_emirates_hlb_world_elite_card,,20833.33,Anybody,1.0,for local transaction,4
158,https://ringgitplus.com/img/card-400/52cbc69a8dbd98902100116c/icbc-visa-platinum.jpg,icbc,icbc_visa_platinum,visa,8333.33,Malaysians Only,1.0,on all local expenses,1
159,https://ringgitplus.com/img/card-400/52cbb612725695036c001b38/icbc-visa-gold.jpg,icbc,icbc_visa_gold,visa,4000.0,Malaysians Only,1.0,on all local retail transaction,1
160,https://ringgitplus.com/img/card-400/52cbb079725695036c0009ec/icbc-visa-classic.jpg,icbc,icbc_visa_classic,visa,2000.0,Malaysians Only,1.0,on all local retail expenses,1
161,https://ringgitplus.com/img/card-400/5efb15f04e3602772bc1dbc2/maybank-shopee-visa-platinum.jpg,maybank,maybank_shopee_visa_platinum,visa,3000.0,Anybody,5.0,on shopee spend on special days,1
162,https://ringgitplus.com/img/card-400/5efb15f04e3602772bc1dbc2/maybank-shopee-visa-platinum.jpg,maybank,maybank_shopee_visa_platinum,visa,3000.0,Anybody,2.0,"on dining, paywave and entertainment spend on normal days",1
